Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
30,Swain,Middle,0.53,0.01,0.00,9.81,6.97,5.71,9.07,9,23741,29859,10186,151.5,1.28,3.54,11147,5,1
31,Sylas,Middle,0.48,0.03,0.01,NaN,7.22,6.72,6.96,10,20076,29359,9084,145,1.93,5.34,10992,40,1
32,Syndra,Middle,0.47,0.02,0.00,5.62,6.48,6.07,6.65,8,20770,17654,2283,173.3,1.53,5.84,11352,36,8
33,Taliyah,Middle,0.49,0.00,0.00,5.88,7.93,6.54,8.01,8,23028,20264,4471,156.7,2.24,6.99,11553,29,9
34,Talon,Middle,0.50,0.02,0.00,6.49,8.93,6.69,6.04,9,20813,24479,4765,162.1,4.68,6.82,12236,19,4
35,Twisted Fate,Middle,0.48,0.02,0.00,6.17,4.99,5.66,8.46,8,16738,21303,4331,163.9,1.35,5,11526,44,1
36,Veigar,Middle,0.50,0.02,0.00,4.5,7.25,6.13,6.77,8,20261,17659,1924,168.9,1.57,5.23,11700,24,0
37,Vel'Koz,Middle,0.51,0.01,0.00,8.48,6.54,5.61,7.89,7,24657,16386,1431,171.5,1.34,4.38,11526,10,3
38,Viktor,Middle,0.51,0.01,0.00,5.56,6.61,5.65,6.85,8,24130,17139,2173,184.8,1.96,6.94,11916,9,3
39,Vladimir,Middle,0.50,0.02,0.01,6.72,6.67,5.48,6.01,8,22482,28847,22937,183.6,2.12,4.52,11706,6,2
40,Xerath,Middle,0.50,0.01,0.00,5.41,6.6,5.09,8.56,8,24312,14837,1190,167.1,1.17,5.07,11319,13,3
41,Yasuo,Middle,0.49,0.05,0.04,11.26,7,7.04,5.77,9,18682,22382,4727,183.4,4.46,7.03,12244,4,1
42,Yone,Middle,0.49,0.07,0.06,NaN,7.92,6.96,5.94,9,22046,24122,5310,171.7,4.15,7.67,12329,2,0
43,Zed,Middle,0.51,0.06,0.04,6.7,9.38,6.39,5.74,10,23060,21003,3092,165.7,1.94,3.66,12282,1,0
44,Ziggs,Middle,0.49,0.01,0.00,5.1,5.57,5.67,7.76,7,24770,16457,1365,184.2,1.69,6.36,11805,22,8
45,Zilean,Middle,0.51,0.00,0.00,8.4,3.67,4.42,10.61,5,15709,18634,7727,160.3,0.96,3.21,10065,45,11
46,Zoe,Middle,0.47,0.03,0.01,NaN,6.66,5.75,7.3,8,21507,18247,3732,153.9,0.99,4.03,10904,35,2
